"","activity_type","date","favorite","distance","calories","time","avg_hr","max_hr","aerobic_te","avg_run_cadence","max_run_cadence","avg_pace","best_pace","total_ascent","total_descent","avg_stride_length","avg_vertical_ratio","avg_vertical_oscillation","avg_ground_contact_time","avg_gct_balance","training_stress_score","avg_power","max_power","grit","flow","total_strokes","avg_swolf","avg_stroke_rate","total_reps","total_sets","dive_time","min_temp","surface_interval","decompression","best_lap_time","number_of_laps","max_temp","moving_time","elapsed_time","min_elevation","max_elevation"
"57","Treadmill Running","2022-10-15 07:52:55","false","6.20","568","01:08:11",143,176,"2.9","161","175","11:00","8:33","--","--",0.91,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",75.2,"0:00","No","00:01:56.0",7,78.8,"01:07:06","01:08:11","--","--"
"58","Treadmill Running","2022-10-12 06:41:20","false","5.00","378","01:03:35",126,138,"1.8","159","208","12:43","10:39","--","--",0.79,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",71.6,"0:00","No","00:11:53",5,82.4,"01:03:19","01:03:35","--","--"
"59","Treadmill Running","2022-10-10 06:54:42","false","1.58","126","00:19:55",121,127,"1.0","162","168","12:36","9:39","--","--",0.92,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",75.2,"0:00","No","00:08:45.7",2,80.6,"00:19:45","00:19:55","--","--"
"60","Running","2022-10-09 07:26:19","false","10.04","964","02:10:22",131,156,"2.8","155","236","12:59","8:00","184","207",0.8,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",73.4,"0:00","No","00:00:16.4",11,86,"02:10:14","02:10:22","1,627","1,692"
"61","Treadmill Running","2022-10-08 07:11:05","false","5.01","450","00:58:12",138,150,"2.3","163","168","11:37","10:05","--","--",0.85,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",75.2,"0:00","No","00:11:13",5,80.6,"00:58:12","00:58:12","--","--"
"62","Treadmill Running","2022-10-05 07:15:31","false","1.30","127","00:15:39",134,142,"2.0","161","166","12:03","11:33","--","--",0.83,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",77,"0:00","No","00:03:28.0",2,80.6,"00:15:34","00:15:39","--","--"
"63","Treadmill Running","2022-10-03 06:53:26","false","3.08","213","00:36:03",120,135,"1.1","163","171","11:42","8:19","--","--",0.82,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",75.2,"0:00","No","00:00:01.8",4,82.4,"00:36:01","00:36:03","--","--"
"64","Running","2022-10-02 07:06:19","false","9.00","878","01:57:15",129,140,"2.7","157","223","13:02","1:36","203","200",0.79,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",77,"0:00","No","00:00:01.5",10,87.8,"01:57:06","01:58:58","1,732","1,791"
"65","Treadmill Running","2022-09-30 06:23:21","false","5.01","369","00:58:22",128,145,"1.5","163","173","11:39","7:32","--","--",0.95,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",73.4,"0:00","No","00:05:15.1",6,82.4,"00:58:17","00:58:22","--","--"
"66","Treadmill Running","2022-09-28 07:20:14","false","1.18","102","00:12:43",132,143,"1.9","160","168","10:47","11:09","--","--",0.86,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",73.4,"0:00","No","00:00:50.4",2,77,"00:12:36","00:12:43","--","--"
"67","Treadmill Running","2022-09-25 07:53:34","false","3.01","231","00:32:46",129,148,"2.1","163","175","10:53","7:04","--","--",0.92,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",75.2,"0:00","No","00:00:25.2",4,80.6,"00:32:43","00:32:46","--","--"
"68","Treadmill Running","2022-09-24 07:42:43","false","4.17","332","00:47:21",130,146,"2.1","162","172","11:21","8:16","--","--",0.88,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",73.4,"0:00","No","00:00:54.2",6,80.6,"00:46:59","00:47:21","--","--"
"69","Treadmill Running","2022-09-21 06:57:38","false","4.01","335","00:45:52",134,143,"2.1","162","172","11:26","10:29","--","--",0.84,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",75.2,"0:00","No","00:10:15",4,82.4,"00:45:45","00:45:52","--","--"
"70","Treadmill Running","2022-09-19 07:15:19","false","3.01","253","00:35:18",130,146,"2.0","165","172","11:44","11:09","--","--",0.81,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",77,"0:00","No","00:11:01",3,80.6,"00:35:17","00:35:18","--","--"
"71","Running","2022-09-17 07:52:17","false","8.00","793","01:39:10",135,148,"2.8","159","236","12:23","8:36","272","259",0.82,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",77,"0:00","No","00:00:01.6",9,89.6,"01:39:05","01:39:56","1,781","1,902"
"72","Running","2022-09-16 07:03:41","false","3.00","291","00:34:36",132,142,"2.4","161","168","11:31","9:41","75","79",0.87,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",75.2,"0:00","No","00:00:01.6",4,82.4,"00:34:36","00:34:36","1,933","1,968"
"73","Running","2022-09-14 07:19:20","false","3.11","304","00:34:34",139,154,"2.8","163","178","11:08","6:48","85","82",0.89,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",73.4,"0:00","No","00:00:45.1",4,80.6,"00:34:30","00:35:42","1,984","2,022"
"74","Treadmill Running","2022-09-12 07:22:36","false","3.00","262","00:34:40",134,149,"2.2","159","189","11:33","6:41","--","--",0.93,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",75.2,"0:00","No","00:01:46.1",4,80.6,"00:34:05","00:34:40","--","--"
"75","Running","2022-09-10 07:14:48","false","7.00","697","01:27:27",136,151,"2.6","159","166","12:29","10:39","144","171",0.81,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",78.8,"0:00","No","00:00:02.0",8,82.4,"01:27:23","01:27:27","1,973","2,043"
"76","Treadmill Running","2022-09-09 07:20:39","false","4.00","349","00:43:11",138,150,"2.5","166","173","10:48","8:36","--","--",0.85,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",77,"0:00","No","00:08:57.2",4,80.6,"00:43:06","00:43:11","--","--"
